City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cape Town,ZA,2020-12-23 17:16:59,-33.93,18.42,72.0,77,75,10.29
70,Aksu,CN,2020-12-23 17:20:48,41.12,80.26,16.63,89,25,0.38
71,Garissa,KE,2020-12-23 17:20:49,-0.45,39.64,87.21,50,98,3.47
72,Kandry,RU,2020-12-23 17:20:49,54.57,54.12,4.96,94,53,6.4
73,Blackwater,AU,2020-12-23 17:20:49,-23.58,148.88,78.93,31,100,14.65
74,Hofn,IS,2020-12-23 17:20:49,64.25,-15.21,19.4,67,0,6.93
75,Katsuura,JP,2020-12-23 17:20:50,35.13,140.3,48.2,66,75,2.24
76,Mao,ES,2020-12-23 17:16:56,39.89,4.27,59.0,87,40,8.05
77,Tongren,CN,2020-12-23 17:16:00,27.72,109.19,42.53,69,11,0.31
78,Tiksi,RU,2020-12-23 17:20:50,71.69,128.87,-18.74,89,100,7.14
79,Saint-Philippe,RE,2020-12-23 17:20:51,-21.36,55.77,78.8,74,0,18.34
80,Srednekolymsk,RU,2020-12-23 17:20:51,67.45,153.68,-18.36,88,100,12.5
81,Jamestown,US,2020-12-23 17:16:56,42.1,-79.24,39.0,80,1,14.99
82,Saint George,US,2020-12-23 17:19:12,37.1,-113.58,42.01,27,1,11.41
83,Busselton,AU,2020-12-23 17:20:52,-33.65,115.33,73.99,53,34,10.0
84,Biltine,TD,2020-12-23 17:20:52,14.53,20.92,79.66,16,1,8.41
85,Qaanaaq,GL,2020-12-23 17:20:52,77.48,-69.36,7.95,86,99,3.91
86,Leibnitz,AT,2020-12-23 17:20:52,46.78,15.54,43.0,93,0,1.12
87,Sao Paulo De Olivenca,BR,2020-12-23 17:20:52,-3.38,-68.87,81.9,88,100,2.08
88,Hithadhoo,MV,2020-12-23 17:20:53,-0.6,73.08,82.08,73,29,15.73
89,Norman Wells,CA,2020-12-23 17:20:53,65.28,-126.83,-7.6,76,75,4.7
90,Paita,PE,2020-12-23 17:20:53,-5.09,-81.11,78.8,65,40,18.34
91,Mangrol,IN,2020-12-23 17:20:53,21.12,70.12,70.16,43,0,7.74
92,Souillac,MU,2020-12-23 17:20:54,-20.52,57.52,78.8,83,75,13.87
93,Sao Joao Da Barra,BR,2020-12-23 17:20:54,-21.64,-41.05,75.2,83,90,20.8
94,Maniitsoq,GL,2020-12-23 17:20:54,65.42,-52.9,34.36,91,100,18.03
95,Van,TR,2020-12-23 17:20:54,38.49,43.38,35.6,51,75,16.11
96,Kudahuvadhoo,MV,2020-12-23 17:20:55,2.67,72.89,81.82,76,65,9.71
97,Hirara,JP,2020-12-23 17:20:55,24.8,125.28,72.25,93,100,2.06
98,Butaritari,KI,2020-12-23 17:20:55,3.07,172.79,81.14,76,76,18.34
99,Lasa,IT,2020-12-23 17:20:56,46.62,10.7,39.99,61,75,1.12
100,Hilo,US,2020-12-23 17:20:56,19.73,-155.09,66.2,82,1,8.05
101,Djibo,BF,2020-12-23 17:20:56,14.1,-1.63,87.39,13,89,5.7
102,Vanimo,PG,2020-12-23 17:20:56,-2.67,141.3,79.54,84,97,6.89
103,Fortuna,US,2020-12-23 17:20:57,40.6,-124.16,35.6,100,1,9.17
104,Gerash,IR,2020-12-23 17:20:57,27.67,54.14,55.4,35,0,4.09
