City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Senanga,ZM,-16.12,23.27,69.01,87,88,2.48,overcast clouds
83,Hasaki,JP,35.73,140.83,54.0,55,40,5.82,scattered clouds
84,Katsuura,JP,35.13,140.3,55.0,40,75,10.29,broken clouds
85,Kahului,US,20.89,-156.47,84.2,51,40,11.41,scattered clouds
86,Marsh Harbour,BS,26.54,-77.06,73.9,76,38,17.63,scattered clouds
87,The Valley,AI,18.22,-63.06,80.6,74,40,14.99,scattered clouds
88,Leh,IN,34.17,77.58,3.09,67,99,2.08,overcast clouds
89,Saskylakh,RU,71.92,114.08,-26.05,85,88,7.4,overcast clouds
90,Nanortalik,GL,60.14,-45.24,35.51,86,100,20.47,light snow
91,Bunia,CD,1.57,30.25,65.1,70,100,3.09,overcast clouds
92,Vostok,RU,46.49,135.88,14.14,96,100,4.16,overcast clouds
93,Meiganga,CM,6.52,14.3,64.56,38,28,4.7,scattered clouds
94,Lata,PT,40.16,-8.33,46.99,87,40,4.7,scattered clouds
95,Jamestown,US,42.1,-79.24,41.0,55,75,10.29,broken clouds
96,Airai,TL,-8.93,125.41,73.51,71,48,2.37,moderate rain
97,Zhezkazgan,KZ,47.8,67.71,-2.97,93,59,3.29,broken clouds
98,Port Hardy,CA,50.7,-127.42,42.8,75,90,11.41,overcast clouds
99,Carnarvon,AU,-24.87,113.63,78.8,88,0,10.29,clear sky
100,Grindavik,IS,63.84,-22.43,35.6,93,90,17.22,light rain
101,Bredasdorp,ZA,-34.53,20.04,60.8,87,100,6.73,light rain
102,San Nicolas,PH,18.17,120.6,82.4,78,20,2.24,few clouds
103,Tiznit,MA,29.58,-9.5,55.24,46,27,9.82,scattered clouds
104,Amantea,IT,39.13,16.07,55.4,93,92,1.12,overcast clouds
105,Makakilo City,US,21.35,-158.09,82.4,51,1,5.82,clear sky
106,Auki,SB,-8.77,160.7,85.32,72,35,3.31,moderate rain
107,Cidreira,BR,-30.18,-50.21,72.63,79,0,17.52,clear sky
