City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Port Blair,IN,78.12,scattered clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
166,Bunbury,AU,86.74,clear sky,-33.33,115.63,Bunbury Hotel Koombana Bay
173,Hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
177,Viedma,AR,69.01,clear sky,-40.81,-63.0,Hotel Cristal
181,Dibulla,CO,77.54,clear sky,11.27,-73.31,Hospedaje Dibulla Beach
183,Necochea,AR,73.99,clear sky,-38.55,-58.74,dyd -mar Hotel
185,Tiarei,PF,84.2,light rain,-17.53,-149.33,Le Rocher de Tahiti
186,Coruripe,BR,76.55,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
187,San Cristobal,VE,65.77,overcast clouds,7.77,-72.22,Pirineos
192,Umm Lajj,SA,71.44,overcast clouds,25.02,37.27,Moon light Furnished Units
193,Kaeo,NZ,75.99,scattered clouds,-35.1,173.78,Bushido Lodge
194,Batemans Bay,AU,80.01,scattered clouds,-35.72,150.18,Batemans Bay Marina Resort
195,Narasannapeta,IN,64.62,clear sky,18.42,84.05,G.lingaraju home
199,Biak,ID,80.91,overcast clouds,-0.91,122.88,Penginapan Kim
204,Faanui,PF,80.62,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Puerto Ayora,EC,73.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
206,Castro,BR,63.03,broken clouds,-24.79,-50.01,CHACARA BAILLY
207,Mufulira,ZM,66.0,overcast clouds,-12.55,28.24,Kamiria lodge
210,Sehithwa,BW,78.6,light rain,-20.47,22.72,MONLEK GUEST HOUSE
211,Hattiesburg,US,64.4,overcast clouds,31.33,-89.29,Quality Inn & Suites
212,Vao,NC,76.73,broken clouds,-22.67,167.48,Hotel Kou-Bugny
215,Isangel,VU,87.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
217,Dunedin,NZ,62.01,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
218,Bengkulu,ID,83.01,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
219,Mumford,GH,79.07,clear sky,5.26,-0.76,Spanish Villa
220,Ambilobe,MG,73.65,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
222,Sunbury,AU,66.0,broken clouds,-37.58,144.73,Sunbury Motor Inn
223,Puerto Del Rosario,ES,68.0,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
226,Bubaque,GW,79.88,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
227,Avarua,CK,71.6,light rain,-21.21,-159.78,Paradise Inn
231,San Rafael,AR,83.34,clear sky,-34.62,-68.33,Hotel San Rafael
238,Noumea,NC,89.6,clear sky,-22.28,166.46,Hôtel Le Lagon
239,Mangan,IN,60.42,few clouds,27.52,88.53,Hotel Mout View
240,Porbandar,IN,65.41,clear sky,21.64,69.61,Lords Inn Porbandar
243,Frontera,MX,73.4,broken clouds,26.93,-101.45,Fiesta Inn Monclova
245,Yantzaza,EC,68.63,broken clouds,-3.83,-78.76,HOTEL ALEJANDRO YANTZAZA
246,Payakumbuh,ID,73.13,heavy intensity rain,-0.22,100.63,OYO 3114 Homestay Dalimo
249,Hithadhoo,MV,81.18,broken clouds,-0.6,73.08,Scoop Guest House
252,Impfondo,CG,73.58,overcast clouds,1.64,18.07,Préfecture de la Likouala
253,Lhokseumawe,ID,79.5,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
254,Dubai,AE,64.4,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
255,Namibe,AO,68.4,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
256,Sandy Bay,AU,61.0,broken clouds,-42.91,147.35,St Ives Hobart Accommodation Tasmania
257,Ahipara,NZ,68.77,few clouds,-35.17,173.17,Ahipara Holiday Park
259,Sitrah,BH,66.2,clear sky,26.15,50.62,Al Bander Resort - منتجع البندر
261,Ponta Do Sol,PT,66.2,broken clouds,32.67,-17.1,Hotel do Campo
262,Road Town,VG,78.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
263,Nhulunbuy,AU,87.8,scattered clouds,-12.23,136.77,East Arnhem Real Estate
264,La Cruz,MX,64.0,broken clouds,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
265,Saint-Georges,GD,78.8,light rain,12.06,-61.75,Siesta Hotel
269,Newala,TZ,68.29,light rain,-10.94,39.28,Country Lodge
271,Orange,US,64.99,overcast clouds,33.7,-117.77,La Quinta Inn & Suites by Wyndham Irvine Spectrum
272,Campos Gerais,BR,66.15,clear sky,-21.23,-45.76,Hotel Paraíso
273,Cockburn Town,TC,78.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
278,Hualmay,PE,67.82,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
279,Namatanai,PG,84.56,moderate rain,-3.67,152.43,Namatanai Hotel
285,Fare,PF,81.05,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
287,Warrnambool,AU,64.99,overcast clouds,-38.38,142.48,Lady Bay Resort
290,Sao Felix Do Xingu,BR,73.81,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
